product,product_id,vendor
,1,
fALCON,2,
 ,3,
SHADOW FLAME,4,ATYAF
SHADOW FLAME,4,ATYAF
OUD LOVERS,5,LPG
OUD LOVERS,5,LPG
LUMINEX COMBO ,6,
Intense Black,7,LPG
NEW 6 PS COMBO,8,SCENT PASSION
NEW 6 PS COMBO,8,SCENT PASSION
FALCON,9,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,10,
Royal Queen 4Pcs,11,
AMBER + BLACK EXCESS,12,SCENT PASSION
AMBER + BLACK EXCESS,12,SCENT PASSION
OUD LOVERS COMPO,13,
intense Black,14,LPG
FERRAGAMO+RIVIERA COMBO,15,SCENT PASSION
FERRAGAMO+RIVIERA COMBO,15,SCENT PASSION
LUMINEX,16,
COLLECTION OF MOOD 1 & VOLGA COMBO 1,17,
ARBE PURO ,18,
ALFRED DUNHILL DESIRE RED,19,SCENT PASSION
THE ARCHER COMBO,20,ATYAF
THE ARCHER COMBO,20,ATYAF
"919,449,489,041.00",21,
INTENSE SIGNATURE,22,LPG
INTENSE SIGNATURE,22,LPG
 Falcon Combo,23,
HUDA,24,OUD AL SALAM
180,25,
BLUE SUFI 100 ML ,26,GLAND LURES
LEON COMBO,27,
Luminex ,28,
-,29,
AMBER+FERRAGAMO,30,SCENT PASSION
INTENSE BLACK,31,LPG
HECTOR COMBO 1 & COLLECTION OF MOOD 1,32,ATYAF 
VOLGA COMBO_ATYAF,33,
ABSOLUTE MOUNTAIN AVENUE_OUD AL SALAM,34,
OLD MEMMORIES,35,RT
OLD MEMMORIES,35,RT
near lulu hypermarket,36,
FERRAGAMO&SUFI COMPO,37,SCENT PASSION
FERRAGAMO&SUFI COMPO,37,SCENT PASSION
Cherie Blossom,38,LPG
Essencia Floral,39,
doe,40,SCENT PASSION
LUMINUX COMBO,41,
CLIVE COLLECTION 1 & OUD LOVERS 1 & AMEERATH UL ARAB 1,42,
Beautiful Weekend,43,LPG
